model,mode,form,difficulty,count,main_metric,count_within1_acc,segment_f1@0.5,mean_best_tIoU,bbox_acc@50iou,self_temporal_loc_f1@0.5,self_temporal_loc_mean_tIoU
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_atomic_instance_recognition,easy,463,0.18229490346194874,,,,,0.2747435557635806,0.33232260673477776
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_atomic_instance_recognition,medium,549,0.2746422575428772,,,,,0.2324122150269983,0.2023057256550104
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_atomic_instance_recognition,hard,12,0.041666666666666664,,,,,0.08333333333333333,0.18626493758482263
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,env_visibility_reasoning,easy,463,0.9114470842332614,0.978401727861771,0.2505616636096248,0.28733747977595087,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,env_visibility_reasoning,medium,549,0.19854280510018216,0.7504553734061931,0.09434924603620305,0.15413043634386406,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,env_visibility_reasoning,hard,12,0.0,0.0,0.011904761904761904,0.05092936913056181,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,env_visibility_reasoning,6+,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_composite_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_composite_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_composite_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_atomic_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_atomic_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_atomic_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,env_visibility_reasoning,easy,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,env_visibility_reasoning,medium,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,env_visibility_reasoning,hard,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-8B-Instant,multi-landmark,env_visibility_reasoning,6+,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_composite_instance_recognition,easy,99,0.050505050505050504,,,,,0.19387755102040816,0.3202920074998678
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_composite_instance_recognition,medium,472,0.2457627118644068,,,,,0.30118438097588063,0.31368052733328383
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_composite_instance_recognition,hard,8,0.25,,,,,0.375,0.5959699016346807
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_composite_instance_recognition,1,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_composite_instance_recognition,6+,0,,,,,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_atomic_instance_recognition,easy,463,0.2595623039453691,,,,,0.5598371105125061,0.4938918073940008
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_atomic_instance_recognition,medium,549,0.1908248457251646,,,,,0.24677610134023653,0.22137822971882237
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_atomic_instance_recognition,hard,12,0.13333333333333333,,,,,0.35256410256410253,0.3049325124056866
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_atomic_instance_recognition,1,0,,,,,,,
