model,view_definition,task_type,difficulty,count,option_accuracy,bbox_acc@50iou,bbox_mean_iou
Qwen/Qwen3.5-9B-Instant,Self-Aware,self_what,4way,512,0.23046875,0.154296875,0.28416468221365737
Qwen/Qwen3.5-9B-Instant,Self-Aware,self_what,8way,512,0.349609375,0.201171875,0.3127995869736225
Qwen/Qwen3.5-9B-Instant,Environment-Aware,env_where,4way,512,0.537109375,0.10546875,0.19893606480220402
Qwen/Qwen3.5-9B-Instant,Environment-Aware,env_where,8way,512,0.52734375,0.099609375,0.21897241012702542
Qwen/Qwen3.5-9B-Instant,Environment-Aware,env_how,4way,512,0.44921875,0.10546875,0.20204408634772889
Qwen/Qwen3.5-9B-Instant,Environment-Aware,env_how,8way,512,0.595703125,0.125,0.24087112431518914
SenseNova-SI-1.2-InternVL3-8B-Instant,Self-Aware,self_where,4way,512,0.181640625,0.076171875,0.0798740154127708
SenseNova-SI-1.2-InternVL3-8B-Instant,Self-Aware,self_where,8way,512,0.16796875,0.138671875,0.13206734058885508
SenseNova-SI-1.2-InternVL3-8B-Instant,Self-Aware,self_what,4way,512,0.0,0.0,0.00047218029308655383
SenseNova-SI-1.2-InternVL3-8B-Instant,Self-Aware,self_what,8way,512,0.001953125,0.0,0.0008417019816298621
SenseNova-SI-1.2-InternVL3-8B-Instant,Environment-Aware,env_where,4way,512,0.1953125,0.02734375,0.05140714602118032
SenseNova-SI-1.2-InternVL3-8B-Instant,Environment-Aware,env_where,8way,512,0.111328125,0.037109375,0.06533669502478731
SenseNova-SI-1.2-InternVL3-8B-Instant,Environment-Aware,env_how,4way,512,0.36328125,0.0546875,0.0809009136083483
SenseNova-SI-1.2-InternVL3-8B-Instant,Environment-Aware,env_how,8way,512,0.544921875,0.064453125,0.08813757726209545
SpaceOm-Instant,Self-Aware,self_where,4way,512,0.2421875,0.01171875,0.04380912329395468
SpaceOm-Instant,Self-Aware,self_where,8way,512,0.251953125,0.044921875,0.08970949833537749
SpaceOm-Instant,Self-Aware,self_what,4way,512,0.251953125,0.029296875,0.10528214565028612
SpaceOm-Instant,Self-Aware,self_what,8way,512,0.23828125,0.04296875,0.11322647964898606
SpaceOm-Instant,Environment-Aware,env_where,4way,512,0.31640625,0.013671875,0.06896873583352224
SpaceOm-Instant,Environment-Aware,env_where,8way,512,0.38671875,0.03515625,0.10283187872588419
SpaceOm-Instant,Environment-Aware,env_how,4way,512,0.28125,0.01171875,0.04938890888089155
SpaceOm-Instant,Environment-Aware,env_how,8way,512,0.375,0.0234375,0.0801586606486608
SpaceR-Instant,Self-Aware,self_where,4way,512,0.166015625,0.029296875,0.06609484217733892
SpaceR-Instant,Self-Aware,self_where,8way,512,0.24609375,0.01953125,0.05357966429112283
SpaceR-Instant,Self-Aware,self_what,4way,512,0.26171875,0.013671875,0.020642023452034967
SpaceR-Instant,Self-Aware,self_what,8way,512,0.21875,0.009765625,0.017199463308273166
SpaceR-Instant,Environment-Aware,env_where,4way,512,0.375,0.021484375,0.05416518693313599
SpaceR-Instant,Environment-Aware,env_where,8way,512,0.47265625,0.013671875,0.05428785644615944
SpaceR-Instant,Environment-Aware,env_how,4way,512,0.3828125,0.03515625,0.07580291572361998
SpaceR-Instant,Environment-Aware,env_how,8way,512,0.59375,0.01171875,0.059553090489803555
SpaceThinker-Instant,Self-Aware,self_where,4way,512,0.185546875,0.009765625,0.02782354721094465
SpaceThinker-Instant,Self-Aware,self_where,8way,512,0.265625,0.013671875,0.032702742301229
SpaceThinker-Instant,Self-Aware,self_what,4way,512,0.251953125,0.02734375,0.05741807493236322
SpaceThinker-Instant,Self-Aware,self_what,8way,512,0.255859375,0.009765625,0.05607544794445946
SpaceThinker-Instant,Environment-Aware,env_where,4way,512,0.306640625,0.0078125,0.045994938535592125
SpaceThinker-Instant,Environment-Aware,env_where,8way,512,0.349609375,0.00390625,0.05586422398236182
SpaceThinker-Instant,Environment-Aware,env_how,4way,512,0.34375,0.0078125,0.0418831015923003
SpaceThinker-Instant,Environment-Aware,env_how,8way,512,0.341796875,0.005859375,0.05132689261018321
VST-7B-RL-Instant,Self-Aware,self_where,4way,512,0.26953125,0.0,0.0001971248552069274
VST-7B-RL-Instant,Self-Aware,self_where,8way,512,0.314453125,0.0,2.651048883944491e-06
VST-7B-RL-Instant,Self-Aware,self_what,4way,512,0.248046875,0.0,9.823409383762538e-05
VST-7B-RL-Instant,Self-Aware,self_what,8way,512,0.234375,0.0,0.0
VST-7B-RL-Instant,Environment-Aware,env_where,4way,512,0.3828125,0.0,0.0025922729996856395
VST-7B-RL-Instant,Environment-Aware,env_where,8way,512,0.560546875,0.0,0.0
VST-7B-RL-Instant,Environment-Aware,env_how,4way,512,0.337890625,0.0,0.0001839456668916655
VST-7B-RL-Instant,Environment-Aware,env_how,8way,512,0.54296875,0.0,0.0007516350332076695
VST-7B-SFT-Instant,Self-Aware,self_where,4way,512,0.26171875,0.0,9.964259307014943e-05
VST-7B-SFT-Instant,Self-Aware,self_where,8way,512,0.30078125,0.0,2.8785933023677758e-05
VST-7B-SFT-Instant,Self-Aware,self_what,4way,512,0.21484375,0.0,0.00010512072655705846
VST-7B-SFT-Instant,Self-Aware,self_what,8way,512,0.24609375,0.0,8.75459113582834e-05
VST-7B-SFT-Instant,Environment-Aware,env_where,4way,512,0.36328125,0.0,0.002904160976978793
VST-7B-SFT-Instant,Environment-Aware,env_where,8way,512,0.56640625,0.0,0.0016663445908138973
VST-7B-SFT-Instant,Environment-Aware,env_how,4way,512,0.357421875,0.0,0.003723884161456213
VST-7B-SFT-Instant,Environment-Aware,env_how,8way,512,0.57421875,0.0,0.001090262176238553
ViLaSR-Instant,Self-Aware,self_where,4way,512,0.08203125,0.0,0.0
ViLaSR-Instant,Self-Aware,self_where,8way,512,0.294921875,0.0,0.00013775077408265818
ViLaSR-Instant,Self-Aware,self_what,4way,512,0.220703125,0.0,0.0
ViLaSR-Instant,Self-Aware,self_what,8way,512,0.220703125,0.0,0.0
ViLaSR-Instant,Environment-Aware,env_where,4way,512,0.353515625,0.0,8.777981732179335e-05
ViLaSR-Instant,Environment-Aware,env_where,8way,512,0.5078125,0.0,0.000126695532462123
ViLaSR-Instant,Environment-Aware,env_how,4way,512,0.365234375,0.0,0.00026146571244132317
ViLaSR-Instant,Environment-Aware,env_how,8way,512,0.62890625,0.0,4.1162139803965384e-05
anthropic/claude-sonnet-4.6-Instant,Self-Aware,self_where,4way,512,0.38671875,0.0390625,0.16424540938993967
anthropic/claude-sonnet-4.6-Instant,Self-Aware,self_where,8way,512,0.3671875,0.05859375,0.200417088732456
anthropic/claude-sonnet-4.6-Instant,Self-Aware,self_what,4way,512,0.234375,0.03125,0.14651436807477344
anthropic/claude-sonnet-4.6-Instant,Self-Aware,self_what,8way,512,0.23828125,0.037109375,0.13720764006067607
anthropic/claude-sonnet-4.6-Instant,Environment-Aware,env_where,4way,512,0.470703125,0.080078125,0.19225471180236756
anthropic/claude-sonnet-4.6-Instant,Environment-Aware,env_where,8way,512,0.5,0.111328125,0.2121130785296627
anthropic/claude-sonnet-4.6-Instant,Environment-Aware,env_how,4way,512,0.576171875,0.078125,0.19032006081167352
anthropic/claude-sonnet-4.6-Instant,Environment-Aware,env_how,8way,512,0.64453125,0.09375,0.2071180987045243
google/gemini-3-flash-preview-Instant,Self-Aware,self_where,4way,512,0.48046875,0.01171875,0.018303753694967683
google/gemini-3-flash-preview-Instant,Self-Aware,self_where,8way,512,0.470703125,0.001953125,0.006226220281128359
google/gemini-3-flash-preview-Instant,Self-Aware,self_what,4way,512,0.4296875,0.00390625,0.006677639892755976
google/gemini-3-flash-preview-Instant,Self-Aware,self_what,8way,512,0.48828125,0.009765625,0.010399799100707954
google/gemini-3-flash-preview-Instant,Environment-Aware,env_where,4way,512,0.521484375,0.0,0.007097016329411799
google/gemini-3-flash-preview-Instant,Environment-Aware,env_where,8way,512,0.6015625,0.001953125,0.010353397356874227
google/gemini-3-flash-preview-Instant,Environment-Aware,env_how,4way,512,0.4921875,0.0078125,0.01211859558579775
google/gemini-3-flash-preview-Instant,Environment-Aware,env_how,8way,512,0.533203125,0.001953125,0.012317494160647393
google/gemini-3.1-flash-lite-preview-Instant,Self-Aware,self_where,4way,138,0.36231884057971014,0.0,0.0
google/gemini-3.1-flash-lite-preview-Instant,Self-Aware,self_where,8way,138,0.42028985507246375,0.0,0.000204668528791787
google/gemini-3.1-flash-lite-preview-Instant,Self-Aware,self_what,4way,138,0.2898550724637681,0.007246376811594203,0.021650678911850532
google/gemini-3.1-flash-lite-preview-Instant,Self-Aware,self_what,8way,138,0.2826086956521739,0.043478260869565216,0.047788445454842975
google/gemini-3.1-flash-lite-preview-Instant,Environment-Aware,env_where,4way,138,0.37681159420289856,0.007246376811594203,0.00974014449677901
google/gemini-3.1-flash-lite-preview-Instant,Environment-Aware,env_where,8way,138,0.42028985507246375,0.0,0.006030586920089314
google/gemini-3.1-flash-lite-preview-Instant,Environment-Aware,env_how,4way,138,0.26811594202898553,0.007246376811594203,0.007951587263939552
google/gemini-3.1-flash-lite-preview-Instant,Environment-Aware,env_how,8way,138,0.34057971014492755,0.0,0.004762130477198606
intern-s1-pro-Instant,Self-Aware,self_where,4way,512,0.294921875,0.154296875,0.24881948147712304
intern-s1-pro-Instant,Self-Aware,self_where,8way,512,0.29296875,0.193359375,0.28792240151364806
intern-s1-pro-Instant,Self-Aware,self_what,4way,512,0.248046875,0.0859375,0.20870739634596916
intern-s1-pro-Instant,Self-Aware,self_what,8way,512,0.275390625,0.10546875,0.21810721790624354
intern-s1-pro-Instant,Environment-Aware,env_where,4way,512,0.3828125,0.0234375,0.12578341113355
intern-s1-pro-Instant,Environment-Aware,env_where,8way,512,0.173828125,0.03125,0.14769249218185815
intern-s1-pro-Instant,Environment-Aware,env_how,4way,512,0.337890625,0.03125,0.12966513293683887
intern-s1-pro-Instant,Environment-Aware,env_how,8way,512,0.267578125,0.033203125,0.15096319070033157
internvl3.5-241b-a28b-Instant,Self-Aware,self_where,4way,512,0.33203125,0.26171875,0.2909904584347871
internvl3.5-241b-a28b-Instant,Self-Aware,self_where,8way,512,0.326171875,0.306640625,0.33298135900140224
internvl3.5-241b-a28b-Instant,Self-Aware,self_what,4way,512,0.26953125,0.181640625,0.2411680312805223
internvl3.5-241b-a28b-Instant,Self-Aware,self_what,8way,512,0.251953125,0.208984375,0.2657300267922146
internvl3.5-241b-a28b-Instant,Environment-Aware,env_where,4way,512,0.5859375,0.048828125,0.14848613747382775
internvl3.5-241b-a28b-Instant,Environment-Aware,env_where,8way,512,0.416015625,0.05859375,0.1677969673806545
