model,mode,form,difficulty,count,main_metric,count_within1_acc,segment_f1@0.5,mean_best_tIoU,bbox_acc@50iou,self_temporal_loc_f1@0.5,self_temporal_loc_mean_tIoU
kimi-k2.5-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.3048,,,,,0.5543,0.48869999999999997
kimi-k2.5-Instant,single-landmark,env_visibility_reasoning,all,1,0.5049,,0.5025999999999999,0.4582,,,
kimi-k2.6-Instant,single-landmark,self_composite_instance_recognition,all,1,0.1211,,,,,0.1906,0.1974
kimi-k2.6-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.32299999999999995,,,,,0.5782,0.4867
kimi-k2.6-Instant,single-landmark,env_visibility_reasoning,all,1,0.3994,,0.48310000000000003,0.433,,,
mimo-v2-omni-Instant,single-landmark,self_composite_instance_recognition,all,1,0.278,,,,,0.331,0.3531
mimo-v2-omni-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.3074,,,,,0.5455,0.46869999999999995
mimo-v2-omni-Instant,single-landmark,env_visibility_reasoning,all,1,0.5938,,0.5267000000000001,0.5371,,,
mimo-v2-omni-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.1794,,,,,0.2322,0.24170000000000003
mimo-v2-omni-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.3065,,,,,0.5819,0.49219999999999997
mimo-v2-omni-Thinking,single-landmark,env_visibility_reasoning,all,1,0.5146000000000001,,0.5213,0.49450000000000005,,,
mimo-v2-pro-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2954,,,,,0.16190000000000002,0.2096
mimo-v2-pro-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2181,,,,,0.2208,0.2278
mimo-v2-pro-Instant,single-landmark,env_visibility_reasoning,all,1,0.4268,,0.1861,0.3096,,,
mimo-v2.5-Instant,single-landmark,self_composite_instance_recognition,all,1,0.3593,,,,,0.4395,0.4874
mimo-v2.5-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.30219999999999997,,,,,0.5331,0.46090000000000003
mimo-v2.5-Instant,single-landmark,env_visibility_reasoning,all,1,0.585,,0.5436,0.5044,,,
mimo-v2.5-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.20989999999999998,,,,,0.2487,0.2545
mimo-v2.5-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.30519999999999997,,,,,0.5817,0.4905
mimo-v2.5-Thinking,single-landmark,env_visibility_reasoning,all,1,0.5312,,0.5449,0.5053,,,
mimo-v2.5-pro-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2173,,,,,0.0593,0.0967
mimo-v2.5-pro-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2254,,,,,0.17629999999999998,0.20199999999999999
mimo-v2.5-pro-Instant,single-landmark,env_visibility_reasoning,all,1,0.4824,,0.2145,0.3044,,,
qwen3.5-flash-Instant,single-landmark,self_composite_instance_recognition,all,1,0.3259,,,,,0.35810000000000003,0.39659999999999995
qwen3.5-flash-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2729,,,,,0.531,0.4261
qwen3.5-flash-Instant,single-landmark,env_visibility_reasoning,all,1,0.5234000000000001,,0.5828,0.513,,,
qwen3.5-plus-Instant,single-landmark,self_composite_instance_recognition,all,1,0.024300000000000002,,,,,0.08990000000000001,0.09140000000000001
qwen3.5-plus-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.3207,,,,,0.4796,0.4781
qwen3.5-plus-Instant,single-landmark,env_visibility_reasoning,all,1,0.5322,,0.5422,0.4678,,,
qwen3.6-flash-Instant,single-landmark,self_composite_instance_recognition,all,1,0.33,,,,,0.3368,0.3834
qwen3.6-flash-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.25,,,,,0.48119999999999996,0.3785
qwen3.6-flash-Instant,single-landmark,env_visibility_reasoning,all,1,0.5225,,0.5268999999999999,0.4668,,,
qwen3.6-plus-Instant,single-landmark,self_composite_instance_recognition,all,1,0.09820000000000001,,,,,0.1655,0.16949999999999998
qwen3.6-plus-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.30219999999999997,,,,,0.4683,0.4744
qwen3.6-plus-Instant,single-landmark,env_visibility_reasoning,all,1,0.5078,,0.5216,0.4611,,,
qwen3.7-plus-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0655,,,,,0.1182,0.1232
qwen3.7-plus-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.3404,,,,,0.6257,0.49450000000000005
qwen3.7-plus-Instant,single-landmark,env_visibility_reasoning,all,1,0.5361,,0.568,0.4924,,,
qwen3.7-plus-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.21739999999999998,,,,,0.2609,0.2506
qwen3.7-plus-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.4003,,,,,0.6579999999999999,0.5156000000000001
qwen3.7-plus-Thinking,single-landmark,env_visibility_reasoning,all,1,0.5791,,0.6206,0.5385,,,
zai-org/GLM-4.6V-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0,,,,,,
zai-org/GLM-4.6V-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.0,,,,,,
zai-org/GLM-4.6V-Instant,single-landmark,env_visibility_reasoning,all,1,0.0,,0.0,0.0316,,,
